episode,return
10,-118.4618
20,-55.1695
30,-6.2234
40,8.0937
50,-9.9107
60,24.1219
70,72.5057
80,30.564
90,20.8196
100,86.6512
110,96.8018
120,51.838
130,79.2749
140,146.603
150,144.9992
160,96.1568
170,31.7669
180,73.2816
190,25.8586
200,162.7716
210,151.5943
220,73.3361
230,101.9688
240,30.6128
250,132.0197
260,93.8018
270,30.2875
280,61.5863
290,41.2756
300,110.5515
310,65.0676
320,29.9375
330,87.4593
340,116.1724
350,33.4492
360,58.7609
370,44.8102
380,83.5738
390,134.3175
400,80.4005
410,50.4098
420,50.1229
430,78.3064
440,-2.4239
450,78.2174
460,-0.5634
470,158.9844
480,16.3567
490,28.5036
500,29.7895
510,72.6281
520,104.8631
530,23.3052
540,128.2222
550,77.1327
560,72.7772
570,32.3746
580,67.6086
590,80.2526
600,112.0999
610,103.4219
620,82.2374
630,114.1291
640,52.9124
650,44.127
660,115.2814
670,94.9393
680,142.3464
690,101.6182
700,107.0878
710,164.5876
720,139.2272
730,165.4487
740,151.1376
750,203.7946
760,71.3368
770,79.836
780,88.3005
790,110.8894
800,198.2277
810,156.459
820,137.076
830,82.5893
840,179.3712
850,125.4905
860,118.8922
870,16.9069
880,157.6075
890,61.1585
900,156.736
910,173.4618
920,112.244
930,162.0937
940,39.164
950,103.0629
960,142.251
970,106.7408
980,7.108
990,106.0802
1000,83.4584
1010,78.8984
1020,1.6756
1030,96.0365
1040,153.3226
1050,81.5631
1060,55.3657
1070,118.597
1080,46.1407
1090,62.5694
1100,96.7465
1110,62.1567
1120,83.7824
1130,70.3369
